CONTAINER ID        IMAGE                                          COMMAND             CREATED              STATUS              PORTS                                                                                    NAMES
c339858c1d07        ait/webapp                                     "/init"             About a minute ago   Up About a minute   3000/tcp, 7373/tcp, 7946/tcp                                                             s10
addc3acf6b33        ait/webapp                                     "/init"             About a minute ago   Up About a minute   3000/tcp, 7373/tcp, 7946/tcp                                                             s9
0ca53ca7e06c        ait/webapp                                     "/init"             About a minute ago   Up About a minute   3000/tcp, 7373/tcp, 7946/tcp                                                             s8
90fe31f69ddb        ait/webapp                                     "/init"             About a minute ago   Up About a minute   3000/tcp, 7373/tcp, 7946/tcp                                                             s7
39d0f85928ac        ait/webapp                                     "/init"             2 minutes ago        Up 2 minutes        3000/tcp, 7373/tcp, 7946/tcp                                                             s6
ddcc9657bf47        ait/webapp                                     "/init"             2 minutes ago        Up 2 minutes        3000/tcp, 7373/tcp, 7946/tcp                                                             s5
97452445ea6b        ait/webapp                                     "/init"             2 minutes ago        Up 2 minutes        3000/tcp, 7373/tcp, 7946/tcp                                                             s4
378ee152a6c6        ait/webapp                                     "/init"             2 minutes ago        Up 2 minutes        3000/tcp, 7373/tcp, 7946/tcp                                                             s3
e67fb13b84e4        teaching-heigvd-ait-2019-labo-docker_webapp2   "/init"             20 minutes ago       Up 12 minutes       7373/tcp, 7946/tcp, 0.0.0.0:4001->3000/tcp                                               s2
85dca0fd9c19        teaching-heigvd-ait-2019-labo-docker_haproxy   "/init"             20 minutes ago       Up 20 minutes       0.0.0.0:80->80/tcp, 7373/tcp, 0.0.0.0:1936->1936/tcp, 0.0.0.0:9999->9999/tcp, 7946/tcp   ha
431887e6bea7        teaching-heigvd-ait-2019-labo-docker_webapp1   "/init"             20 minutes ago       Up 20 minutes       7373/tcp, 7946/tcp, 0.0.0.0:4000->3000/tcp                                               s1
